Unnamed: 0	query	objs	syn
0	difference sex love	sex love	sexual activity sex arouse love beloved sexual love sleep together love
1	better laptop desktop	laptop desktop	desktop background desktop
2	better canon nikon	canon nikon	canon canyon nikon
3	best dish detergent	dish detergent	detergent detergent
4	best city live	city	city city
5	longest river u.s .	river	river river
6	healthiest coffee green tea black tea	coffee tea	coffee coffee bean chocolate tea tea
7	advantage disadvantage php python vice versa	0	0.0
8	linux better window	0	0.0
9	sleep better	sleep	sleep rest sleep
10	buy lcd tv plasma tv	0	0.0
11	train plane better choice	train plane	train string caravan gearing discipline prepare educate aim coach trail airplane plane flat plane
12	highest mountain earth	mountain	mountain batch mountain
13	prefer chinese medicine western medicine	medicine	medicine music medicate medicine
14	best wash machine brand	brand	trade name brand mark sword stigmatize post brand
15	buy rent	buy rent	bargain buy bribe rent rip economic rent lease rend rent
16	prefer cat dog	cat dog	cat guy kat cat-o'-nine-tails Caterpillar big cat computerized tomography vomit dog frump cad frank pawl andiron chase dog
17	better way grill outdoors gas charcoal	grill	grillroom grill grill
18	better mac pc	0	0.0
19	better use brush sponge	brush sponge	brush sponge quick study leech mooch sponge
20	better linux microsoft	0	0.0
21	better pepsi coke	0	0.0
22	better google search yahoo search	search	search research search
23	better netflix blockbuster	0	0.0
24	browser better internet explorer firefox	0	0.0
25	better vehicle bmw audi	0	0.0
26	better electric stave gas stave	stove	stove stave stove
27	plane best boeing airbus	plane	airplane plane flat plane
28	better disneyland disney world	0	0.0
29	buy xbox playstation	0	0.0
30	caffeine coffee tea	caffeine coffee tea	coffee coffee bean chocolate tea tea
31	better lead lcd reception display	0	0.0
32	better asp php	0	0.0
33	better environment real fake christmas tree	real fake tree	fake imposter juke forge fudge talk through one's hat bogus tree Tree corner tree
34	prefer tampon pad	tampon pad	tampon pad launching pad diggings embroider slog pad
35	ide better java netbeans eclipse	0	0.0
36	opengl better direct3d term portability different platform	portability	portability portability
37	difference mysql postgresql performance	performance	performance operation performance
38	java code readable code write scala	code	code code
39	operate system better performance window 7 window 8	performance	performance operation performance
40	smartphone better battery life xperia iphone	smartphone battery	battery barrage battery
41	four wheel truck better ford toyota	truck	truck hand truck truck
42	prefer leica camera nikon portrait photograph	camera portrait photograph	camera television camera portrayal portrait photograph photograph
43	company larger capitalization apple microsoft	company capitalization	company caller party ship's company capitalization capitalization
44	laptop better durability hp	laptop durability	lastingness durability
45	beverage calorie glass beer cider	beverage calorie glass beer cider	beverage Calorie calorie glass field glass methamphetamine looking glass glaze beer cider cider
46	admission rate stanford higher	admission rate	admission entrance fee entree rate pace rate
47	pasta healthier pizza	pasta	pasta pasta
48	city expensive live san francisco new york	city expensive	city expensive expensive
49	whose salary higher basketball soccer player	salary basketball soccer player	basketball soccer player musician actor player
